representation,hand,layer,n_all,n_correct,n_wrong,r2_all,r2_correct,r2_wrong,r2_shuffled,acc_all,acc_correct,acc_wrong,acc_shuffled,acc_majority_baseline
hidden_last,minute,21,480,12,468,0.9385843354151592,-6.302039347187078e+30,0.9392305008082031,-0.18760263100774577,0.9520833333333333,1.0,0.9508547008547008,0.07291666666666667,0.08333333333333333
hidden_last,hour,21,480,134,346,0.906930060801804,0.8946833977589457,0.9088957661328473,-0.3135206590501398,0.9145833333333333,0.8656716417910447,0.9335260115606936,0.08333333333333333,0.10416666666666667
hidden_meanpool,minute,11,480,12,468,0.9693382254623456,-2.55944612464089e+30,0.9694447841591645,-0.2152236224413554,0.9583333333333334,1.0,0.9572649572649573,0.075,0.08333333333333333
hidden_meanpool,hour,20,480,134,346,0.9499536036393263,0.9448570544031347,0.9508200719166731,-0.27131314300286546,0.9625,0.9626865671641791,0.9624277456647399,0.08958333333333333,0.10416666666666667
vision_encoder,minute,0,480,12,468,0.9609521768887983,-2.2775655795065928e+30,0.9611592475366691,-0.2226928540938834,0.9604166666666667,1.0,0.9594017094017094,0.07916666666666666,0.08333333333333333
vision_encoder,hour,0,480,134,346,0.9212385933176584,0.9004585752196843,0.9244625378578653,-0.3115025550629916,0.95,0.9402985074626866,0.953757225433526,0.08125,0.10416666666666667
